,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,temp_v,humdy_v,cloud_v,wind_v
0,yulin,CN,0,09/28/2018,71,38.3,109.75,40.74,8.75,xkcd:sea green,#4C4CFF,#0000FF,xkcd:indigo blue
1,milledgeville,US,1,09/28/2018,88,33.08,-83.23,80.06,2.93,xkcd:reddish orange,#3333FF,#0000FF,xkcd:violet
2,dingle,IE,0,09/28/2018,100,52.14,-10.27,51.27,5.39,xkcd:yellow green,#0000FF,#0000FF,xkcd:indigo blue
3,nizhniy chir,RU,0,09/28/2018,100,48.36,43.08,48.93,8.63,xkcd:sea green,#0000FF,#0000FF,xkcd:indigo blue
4,tuatapere,NZ,92,09/28/2018,92,-46.13,167.69,52.44,19.71,xkcd:yellow green,#1919FF,#E5E5FF,xkcd:green
5,ishigaki,JP,75,09/28/2018,94,24.34,124.16,78.8,31.09,xkcd:orange,#1919FF,#B2B2FF,xkcd:orange
6,uray,RU,0,09/28/2018,86,60.13,64.8,42.27,8.41,xkcd:sea green,#3333FF,#0000FF,xkcd:indigo blue
7,yumen,CN,0,09/28/2018,32,40.29,97.04,42.81,10.54,xkcd:sea green,#B2B2FF,#0000FF,xkcd:blue
8,cap malheureux,MU,0,09/28/2018,100,-19.98,57.61,72.96,15.23,xkcd:orange,#0000FF,#0000FF,xkcd:green
9,cabedelo,BR,20,09/28/2018,83,-6.97,-34.84,75.2,4.7,xkcd:orange,#3333FF,#1919FF,xkcd:violet
10,poletayevo,RU,40,09/28/2018,70,55.04,61.11,46.4,13.42,xkcd:sea green,#6666FF,#4C4CFF,xkcd:blue
11,chirkey,RU,20,09/28/2018,77,42.96,46.98,59,11.18,xkcd:yellow green,#4C4CFF,#1919FF,xkcd:blue
12,hilo,US,20,09/28/2018,65,19.71,-155.08,86,9.17,xkcd:reddish orange,#6666FF,#1919FF,xkcd:indigo blue
13,genhe,CN,64,09/28/2018,93,50.78,121.52,45.24,5.95,xkcd:sea green,#1919FF,#9999FF,xkcd:indigo blue
14,lamesa,US,1,09/28/2018,36,32.74,-101.95,82.76,9.17,xkcd:reddish orange,#B2B2FF,#0000FF,xkcd:indigo blue
15,pontivy,FR,0,09/28/2018,82,48.06,-2.97,55.4,14.99,xkcd:yellow green,#3333FF,#0000FF,xkcd:blue
16,aktau,KZ,0,09/28/2018,76,43.65,51.16,48.2,6.71,xkcd:sea green,#4C4CFF,#0000FF,xkcd:indigo blue
17,denpasar,ID,20,09/28/2018,89,-8.65,115.22,74.67,2.15,xkcd:orange,#3333FF,#1919FF,xkcd:violet
18,kahului,US,40,09/28/2018,63,20.89,-156.47,89.96,21.92,xkcd:reddish orange,#6666FF,#4C4CFF,xkcd:sea green
19,kavieng,PG,12,09/28/2018,100,-2.57,150.8,85.11,8.63,xkcd:reddish orange,#0000FF,#1919FF,xkcd:indigo blue
20,ponta do sol,CV,0,09/28/2018,97,17.2,-25.09,79.44,20.6,xkcd:orange,#1919FF,#0000FF,xkcd:sea green
21,tokur,RU,64,09/28/2018,56,53.13,132.9,49.56,4.38,xkcd:sea green,#7F7FFF,#9999FF,xkcd:violet
22,balakhninskiy,RU,8,09/28/2018,86,58.01,114.28,30.66,2.15,xkcd:green,#3333FF,#0000FF,xkcd:violet
23,anloga,GH,40,09/28/2018,88,5.79,0.9,78.8,9.17,xkcd:orange,#3333FF,#4C4CFF,xkcd:indigo blue
24,ust-kulom,RU,92,09/28/2018,97,61.69,53.69,39.66,2.71,xkcd:green,#1919FF,#E5E5FF,xkcd:violet
25,karratha,AU,0,09/28/2018,61,-20.74,116.85,69,4.61,xkcd:yellow,#6666FF,#0000FF,xkcd:violet
26,touros,BR,64,09/28/2018,89,-5.2,-35.46,77.1,13,xkcd:orange,#3333FF,#9999FF,xkcd:blue
27,kongolo,CD,76,09/28/2018,90,-5.39,27,70.26,5.5,xkcd:orange,#3333FF,#B2B2FF,xkcd:indigo blue
28,katherine,AU,0,09/28/2018,23,-14.47,132.26,87.8,11.41,xkcd:reddish orange,#CCCCFF,#0000FF,xkcd:blue
29,kisangani,CD,8,09/28/2018,100,0.52,25.21,70.08,2.71,xkcd:orange,#0000FF,#0000FF,xkcd:violet
30,chokurdakh,RU,56,09/28/2018,100,70.62,147.9,30.21,6.17,xkcd:green,#0000FF,#7F7FFF,xkcd:indigo blue
31,polunochnoye,RU,24,09/28/2018,90,60.87,60.43,36.69,8.52,xkcd:green,#3333FF,#3333FF,xkcd:indigo blue
32,kapaa,US,90,09/28/2018,84,22.08,-159.32,86,17.22,xkcd:reddish orange,#3333FF,#CCCCFF,xkcd:green
33,banepa,NP,20,09/28/2018,93,27.63,85.52,64.4,3.36,xkcd:yellow,#1919FF,#1919FF,xkcd:violet
34,sal rei,CV,75,09/28/2018,78,16.18,-22.92,78.8,13.87,xkcd:orange,#4C4CFF,#B2B2FF,xkcd:blue
35,maturin,VE,8,09/28/2018,86,9.75,-63.18,79.26,6.4,xkcd:orange,#3333FF,#0000FF,xkcd:indigo blue
36,caravelas,BR,0,09/28/2018,100,-17.73,-39.27,77.19,16.46,xkcd:orange,#0000FF,#0000FF,xkcd:green
37,sao filipe,CV,0,09/28/2018,93,14.9,-24.5,79.17,17.92,xkcd:orange,#1919FF,#0000FF,xkcd:green
38,zhigansk,RU,44,09/28/2018,100,66.77,123.37,33.81,5.73,xkcd:green,#0000FF,#6666FF,xkcd:indigo blue
39,astana,KZ,0,09/28/2018,80,51.13,71.43,39.2,11.18,xkcd:green,#4C4CFF,#0000FF,xkcd:blue
